nome,ocupacao,data_nascimento,data_morte,conteudo
Carlos Lamarca, Guerrilheiro brasileiro,23/10/1937,17/09/1971 (aos 33 anos),Carlos Lamarca (1937-1971) foi um guerrilheiro e militar brasileiro. Fez parte do movimento de guerrilha Vanguarda Popular Revolucionária que combatia a ditadura militar.
Carlos Lacerda, Político brasileiro,30/04/1930,21/05/1977 (aos 47 anos),Carlos Lacerda (1914-1977) foi um político brasileiro. Destacou-se pelo partido UDN fazendo oposição ao governo de Getúlio Vargas.
Carlos Fuentes, Escritor mexicano,11/11/1928,15/05/2012 (aos 83 anos),"Carlos Fuentes (1928-2012) foi um escritor mexicano, considerado um dos maiores romancistas em língua espanhola, na América Latina. Nos anos 60, Carlos Fuentes viveu em Paris, Veneza e Londres. Lecionou em Harvard, Cambridge, Princeton e outras universidades de renome internacional."
Carlos Drummond de Andrade, Poeta brasileiro,31/10/1902,17/08/1987 (aos 84 anos),"Carlos Drummond de Andrade (1902–1987). Foi um dos maiores poetas brasileiros do século XX. ""No meio do caminho tinha uma pedra / tinha uma pedra no meio do caminho"". Este é um trecho de uma das poesias de Drummond, que marcou o 2º Tempo do Modernismo no Brasil."
Carlos Chagas, Médico brasileiro,09/07/1879,08/11/1934 (aos 55 anos),"Carlos Chagas (1879-1934) foi um médico sanitarista e pesquisador brasileiro. Dedicou-se ao estudo das doenças tropicais. Descobriu o protozoário causador da doença de Chagas, ao qual deu o nome Trypanosoma Cruzi."
Carlos de Lima Cavalcanti, Político brasileiro,06/07/1892,19/01/1967 (aos 74 anos),"Carlos de Lima Cavalcanti (1892-1967) foi político brasileiro. Foi deputado estadual e governador de Pernambuco. Apesar de suas atividades políticas, dirigiu a usina de sua família até 1937."
Carlos Castello Branco, Jornalista brasileiro,25/06/1920,01/06/1993 (aos 72 anos),"Carlos Castello Branco (1920-1993) foi um jornalista e escritor brasileiro, foi considerado o maior colunista político da imprensa nacional da segunda metade do século XX. A “Coluna do Castello” foi publicada durante 31 anos no Jornal do Brasil."
Carlos Bolsonaro, Político brasileiro,07/12/1982,não informado,Carlos Nantes Bolsonaro é um político que atualmente ocupa o cargo de vereador da cidade do Rio de Janeiro. O rapaz é filho do presidente Jair Bolsonaro e irmão dos deputados Eduardo e Flávio Bolsonaro.
Carlinhos Maia, Comediante brasileiro,12/06/1991,não informado,Carlinhos Maia é um comediante e influencer brasileiro. Em 2018 esteve entre as pessoas mais vistas no Insta Stories - em termos de ranking global ficou apenas atrás de Kim Kardashian.
Carlinhos Brown," Cantor, músico e artista plástico brasileiro",23/11/1962,não informado,"Antônio Carlos Santos de Freitas, conhecido pelo grande público apenas como Carlinhos Brown, é um músico, compositor, cantor e artista plástico brasileiro. Ele é um dos expoentes da música afro-baiana."
Carl Maria von Weber, Músico alemão,18/11/1786,05/06/1826 (aos 39 anos),"Carl Maria von Weber (1786-1826) foi um músico alemão. Compositor, pianista e regente, sua obra introduziu a ópera romântica na Alemanha."
Carl Sagan, Cientista norte-americano,09/11/1934,02/12/1996 (aos 62 anos),"Carl Sagan (1934-1996) foi um cientista, astrônomo e escritor norte-americano, conhecido por seus livros de divulgação científica, e pela série de TV “Cosmos: Uma Viagem Científica”."
Carl Rogers, Psicologo norte-americano,09/01/1902,04/02/1987 (aos 85 anos),"Carl Rogers (1902-1987) foi um psicólogo norte-americano. Desenvolveu a Psicologia Humanista, também chamada de Terceira Força da Psicologia. Foi um dos principais responsáveis pelo acesso e reconhecimento dos psicólogos ao universo clínico, antes dominado pela psiquiatria médica e pela psicanálise. Sua postura enquanto terapeuta sempre esteve apoiada em sólidas pesquisas e observações clínicas."
Carl Gustav Jung, Psiquiatra suíço,26/06/1875,06/06/1961 (aos 85 anos),"Carl Gustav Jung (1875-1961) foi um psiquiatra suíço, fundador da escola da Psicologia Analítica. Desenvolveu os conceitos da personalidade extrovertida e introvertida, de arquétipos e do inconsciente coletivo."
Cláudio Manuel da Costa, Poeta do Brasil colônia,05/06/1729,04/07/1789 (aos 60 anos),"Cláudio Manuel da Costa (1729-1789) foi um poeta do Brasil colônia. Seu livro ""Obras Poéticas"" deu início ao Arcadismo no Brasil Tornou-se conhecido também por sua participação na Inconfidência Mineira. É patrono da cadeira nº. 8 da Academia Brasileira de Letras."
Cláudio Galeno, Médico romano,não informado,não informado,"Cláudio Galeno (129-199) foi um médico grego, considerado o pai da Anatomia. Realizou extensos estudos de Anatomia e Fisiologia. Sua monumental enciclopédia de Medicina, ""Exercícios Anatômicos"", foi durante mais de quinze séculos considerada infalível."
Cláudio de Moura Castro, Economista e especialista em educação,29/11/1938,não informado,"Cláudio de Mora Castro (1938) é um economista brasileiro, professor e especialista em educação."
Cláudio, Imperador romano,não informado,não informado,"Cláudio (10 a. C.-54) foi imperador romano entre os anos de 41 e 54 da era cristã. Foi o quarto representante da dinastia Júlio-Claudiana. Era sobrinho dos imperadores Otávio Augusto e Tibério, e tio de Calígula."
Claudia Leitte, Cantora brasileira,10/07/1980,não informado,"Claudia Leitte (1980) é uma cantora e compositora brasileira de música Pop e axé music, uma das maiores do gênero juntamente com Ivete Sangalo. Possui músicas que ficaram conhecidas no Brasil: “Amor Perfeito”, “Me Chama de Amor”, “Cai Fora” e “Exttravasa” são algumas delas."
Cláudia Abreu, Atriz brasileira,12/10/1970,não informado,Cláudia Abreu (1970) é uma atriz brasileira.
Claude Monet, Pintor francês,14/11/1840,05/12/1926 (aos 86 anos),"Claude Monet (1840-1926) foi um pintor francês considerado um dos mais importantes pintores da Escola Impressionista. O termo impressionista surgiu durante uma exposição realizada em 1874, quando o quadro de Monet, ""Impressão, Nascer do Sol"", foi criticado por retratar a “impressão” de uma cena e não a realidade.  "
Claude Lévi-Strauss, Antropólogo francês,28/11/1908,30/10/2009 (aos 100 anos),"Claude Lévi-Strauss (1908-2009) foi um antropólogo, sociólogo e humanista francês. Foi um dos grandes pensadores do século XX, foi considerado o mestre da Antropologia Moderna."
Claude Debussy, Compositor e pianista francês,22/08/1862,25/03/1918 (aos 55 anos),"Claude Debussy (1862-1918) foi um compositor revolucionário e um pianista francês, mentor e principal criador de um original estilo de música inspirado nos ideais da pintura impressionista."
Clark Gable, Ator norte-americano,01/02/1901,16/11/1960 (aos 59 anos),"Clark Gable (1901-1960) foi um ator norte-americano. Foi considerado ""O Rei de Hollywood"". Ganhou o Oscar de Melhor Ator, por sua atuação no filme ""It Happend One"", em 1934. Contracenou com grandes estrelas como Greta Garbo, Sophia Loren, Marilyn Monroe, Vivien Leigh, entre outras."
Clarice Lispector, Escritora e jornalista brasileira,10/12/1920,09/12/1977 (aos 56 anos),"Clarice Lispector (1920-1977) foi um dos maiores nomes da literatura brasileira do Século XX. Com seu romance inovador e com sua linguagem altamente poética, sua obra se destacou diante dos modelos narrativos tradicionais. Seu primeiro livro, “Perto do Coração Selvagem” recebeu o Prêmio Graça Aranha."
Ciro Gomes, Político brasileiro,06/11/1957,não informado,"Ciro Gomes (1957) é um político, advogado e professor universitário brasileiro. Foi Deputado Estadual, Prefeito de Fortaleza, Governador do Ceará, Ministro da Fazenda, Ministro da Integração Nacional. É candidato à Presidência do Brasil em 2018."
Cildo Meireles,não informado,não informado,não informado,
Cid Moreira, Jornalista e apresentador brasileiro,29/09/1927,não informado,"Cid Moreira (1927) é um jornalista, locutor e apresentador brasileiro. Com sua voz grave e inconfundível apresentou por décadas o Jornal Nacional da TV Globo. Também narrou um áudio com um conjunto de obras da Bíblia."
Cícero Dias, Pintor brasileiro,05/03/1907,28/01/2003 (aos 95 anos),"Cícero Dias (1907-2003) foi um pintor, desenhista e ilustrador brasileiro, grande representante da pintura modernista do Brasil. É autor do painel “Eu Vi o Mundo... Ele Começava no Recife”, obra que irrompeu o cenário modernista no país."
Chuck Norris, Ator norte-americano,10/03/1940,não informado,"Chuck Norris (1940) é um ator norte-americano, campeão mundial de karatê que se tornou um grande ícone de filmes de ação."
Chuck Berry, Cantor e compositor norte-americano,18/10/1926,18/03/2017 (aos 90 anos),"Chuck Berry (1926-2017) foi um cantor, compositor e guitarrista norte-americano, uma lenda do rock’n’roll. Autor dos clássicos “Sweet Little Sixteen” e “Johnny B. Goode”."
Christian Dior, Estilista francês,21/01/1905,23/10/1957 (aos 52 anos),"Christian Dior (1905-1957) foi um estilista francês, fundador da Christian Dior S.A., uma das mais famosas empresas de moda do mundo."
Chris Brown, Cantor norte-americano,05/05/1989,não informado,"Chris Brown (1989) é um cantor, dançarino de música pop, R&B e hip hop e ator norte-americano. Um dos maiores sucessos do cantor é o single ""Forever""."
Chimamanda Ngozi Adichie, Escritora nigeriana,15/09/1977,não informado,"Chimamanda Ngozi Adichie é atualmente uma das maiores vozes da literatura africana, suas obras já foram traduzidas para mais de trinta idiomas."
Chiquinha Gonzaga," Foi compositora, pianista e regente brasileira",12/10/1847,28/02/1935 (aos 87 anos),"Chiquinha Gonzaga (1847-1935) foi uma compositora, pianista e regente brasileira, a primeira mulher a reger uma orquestra no Brasil, combinando o popular com o erudito. Autora da primeira marchinha de carnaval ""Ó Abre Alas""."
Chico Xavier, Médium brasileiro,02/04/1910,30/06/2002 (aos 92 anos),"Chico Xavier (1910-2002) foi um médium brasileiro, reconhecido como o maior psicógrafo de todos os tempos. Com 4 anos de idade já via e ouvia os espíritos e conversava com eles."
Chico Science, Cantor e compositor brasileiro,13/03/1966,02/02/1997 (aos 30 anos),"Chico Science (1966-1997) foi um cantor e compositor brasileiro, um dos principais representantes do “movimento mangue beat”."
Deodoro da Fonseca, Político brasileiro,05/08/1827,23/08/1892 (aos 65 anos),"Deodoro da Fonseca (Marechal) (1827-1892) foi um político e militar brasileiro, o primeiro presidente da República do Brasil. No dia 15 de novembro de 1889, decretou a Proclamação da República Brasileira."
Demóstenes, Orador e político ateniense,não informado,não informado,"Demóstenes (384-322 a. C.) foi um brilhante orador ateniense, considerado o maior orador da Antiguidade."
Denzel Washington, Ator norte-americano,28/12/1954,não informado,"Denzel Washington (1954) é um ator, diretor e produtor norte-americano, um dos mais respeitados atores de Hollywood, vencedor de duas estatuetas do Oscar."
Demócrito de Souza Filho, Herói estudantil brasileiro,27/10/1921,03/03/1945 (aos 23 anos),Demócrito de Souza Filho (1921-1945) foi o grande herói do movimento estudantil que lutou contra o Estado Novo e consequentemente contra a ditadura de Getúlio Vargas.
Denis Diderot, Filósofo e escritor francês,05/10/1713,31/07/1784 (aos 70 anos),"Denis Diderot (1713-1784) foi um filósofo, escritor e tradutor francês, um dos grandes pensadores do Iluminismo francês e principal idealizador da Enciclopédia, um dos símbolos do Iluminismo, que preparou ideologicamente a Revolução Francesa."
Dennis Hopper, Ator e cineasta norte-americano,17/05/1936,24/05/2010 (aos 74 anos),"Dennis Hopper (1936-2010) foi um ator e cineasta norte-americano. Tornou-se um ícone da contracultura ao dirigir e estrelar, ao lado de Peter Fonda, o filme Sem Destino."
Demócrito, Filósofo grego,não informado,não informado,Demócrito (460-370 a.C.) foi um filósofo grego do período pré-socrático e agrupado na escola atomista. Julgava que todos os elementos do universo eram compostos de átomos.
Demi Lovato, Cantora norte-americana,20/08/1992,não informado,"Demi Lovato (1992) é uma cantora, compositora e atriz norte-americana. Destacou-se, ainda na infância, atuando na série de televisão “Barney & Friends” entre a sexta e oitava temporadas. Com 16 anos lançou seu álbum de estreia “Don't Forget”. Recebeu diversos prêmios por seus trabalhos, entre eles, “Rainha do Pop Adolescente”."
Delmiro Gouveia, Industrial brasileiro,05/06/1863,10/10/1917 (aos 54 anos),"Delmiro Gouveia (1863-1917) foi um industrial brasileiro, pioneiro na instalação de uma fábrica nacional independente no Nordeste brasileiro. A Fábrica de Linhas Estrela era um modelo para a época. Explorou o potencial energético da Cachoeira de Paulo Afonso com a construção da primeira usina hidrelétrica de Paulo Afonso."
Debbie Reynolds, Atriz e cantora norte-americana,01/04/1932,28/12/2016 (aos 84 anos),"Debbie Reynolds (1932-2016) foi uma atriz, cantora e dançarina norte-americana, eternizada com o musical “Cantando na Chuva”, ao lado de Gene Kelly e Donald O’Connor."
Day McCarthy, Socialite brasileira,não informado,não informado,"Dayane Alcantara Couto de Andrade, conhecida como Day McCarthy, é uma socialite brasileira."
Décio Pignatari, Poeta brasileiro,20/08/1927,02/12/2012 (aos 85 anos),"Décio Pignatari, (1927-2012) foi um poeta e ensaísta brasileiro. Um dos mais importantes poetas do movimento concretista. Foi também professor, teórico da comunicação e tradutor."
Débora Falabella, Atriz brasileira,22/02/1979,não informado,"Débora Falabella (1979) é uma atriz brasileira de telenovela, teatro e cinema. Atuou em várias novelas, entre elas, ""Escrito nas Estrelas"", ""O Clone"" e ""Avenida Brasil"". No cinema atuou em ""Lisbela e o Prisioneiro"", ""Cazuza: O Tempo Não Para"", entre outros."
